tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:49512-91.92.241.10:80,1768684625.911910,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911979,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912051,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912075,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912107,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912189,52,0,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912207,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912214,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912250,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912314,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912365,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912392,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912488,52,0,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912506,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912512,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912547,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912599,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912663,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912766,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912772,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912794,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912895,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.912906,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.912933,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.913024,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.913035,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.913071,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.913173,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.913180,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.913221,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.913309,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.913318,796,744,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.913440,52,0,010000!
185.125.190.97:80-192.168.10.6:38226,1768684625.913611,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985117,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985145,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985169,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985202,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985230,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985258,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985287,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985314,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.985327,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985373,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985401,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985433,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985461,508,456,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985487,324,272,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.985551,1440,1388,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.985562,52,0,010000!
